uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
134239072,,,,,,,,,,,,,1,ar
134252448,43.0,78.74418604651163,4.0,146.5,,,,,,,,,1,ar
134365856,5.0,210.6,,,,,,,,,,,1,ar
134466800,,,,,,,,,,,,,1,ar
134560448,,,,,,,,,,,,,1,ar
135109504,1.0,330.0,,,,,,,,,,,1,ar
135411184,8.0,12.625,,,,,,,,,,,1,ar
135440288,,,,,,,,,,,,,1,ar
135642848,,,,,,,,,,,,,1,ar
135713536,,,,,,,,,,,,,1,ar
135792480,,,,,,,,,,,,,1,ar
135936032,1.0,413.0,,,,,,,,,,,1,ar
135947952,2125.0,207.04611764705882,1721.0,213.36490412550842,1145.0,226.98427947598253,566.0,226.01943462897526,179.0,221.78212290502793,63.0,232.3968253968254,0,ar
136122752,,,,,,,,,,,,,1,ar
136378240,154.0,90.7012987012987,151.0,89.40397350993378,114.0,80.7719298245614,,,,,,,1,ar
136487696,8.0,86.125,,,,,,,,,,,1,ar
136515520,48.0,81.10416666666667,30.0,108.96666666666667,,,,,,,,,1,ar
136560208,243.0,118.98765432098766,243.0,118.98765432098766,61.0,133.9672131147541,14.0,140.0,1.0,118.0,,,0,ar
136819200,,,,,,,,,,,,,1,ar
137017600,13.0,37.84615384615385,13.0,37.84615384615385,13.0,37.84615384615385,13.0,37.84615384615385,13.0,37.84615384615385,13.0,37.84615384615385,0,ar
137035792,527.0,131.8595825426945,272.0,123.78676470588235,,,,,,,,,0,ar
137083920,,,,,,,,,,,,,1,ar
137084144,1086.0,256.53130755064456,863.0,259.25608342989574,740.0,249.75675675675674,317.0,251.23028391167193,194.0,251.60824742268042,5.0,255.8,0,ar
137138400,41.0,179.6341463414634,,,,,,,,,,,1,ar
137149152,19.0,210.21052631578948,,,,,,,,,,,1,ar
137247120,1.0,156.0,,,,,,,,,,,1,ar
137775376,,,,,,,,,,,,,1,ar
137956768,,,,,,,,,,,,,1,ar
138113120,13.0,46.46153846153846,13.0,46.46153846153846,1.0,52.0,,,,,,,0,ar
138236752,630.0,162.9015873015873,508.0,163.46259842519686,305.0,154.9606557377049,172.0,144.6627906976744,74.0,154.0810810810811,18.0,146.05555555555554,0,ar
138288640,7.0,276.0,,,,,,,,,,,1,ar
138313200,,,,,,,,,,,,,1,ar
138544224,7.0,82.14285714285714,,,,,,,,,,,1,ar
138553072,33.0,45.63636363636363,,,,,,,,,,,1,ar
138688816,,,,,,,,,,,,,1,ar
138734256,5.0,89.2,,,,,,,,,,,1,ar
138741152,4.0,114.0,4.0,114.0,,,,,,,,,1,ar
138910416,,,,,,,,,,,,,1,ar
138957152,14.0,61.357142857142854,12.0,43.833333333333336,,,,,,,,,1,ar
138982224,10.0,79.8,4.0,73.75,,,,,,,,,1,ar
138997280,,,,,,,,,,,,,1,ar
139078496,1.0,206.0,,,,,,,,,,,1,ar
139431840,210.0,197.92857142857142,210.0,197.92857142857142,210.0,197.92857142857142,208.0,198.62980769230768,71.0,187.59154929577466,,,1,ar
139513584,232.0,229.7543103448276,232.0,229.7543103448276,232.0,229.7543103448276,113.0,234.57522123893804,,,,,1,ar
139561568,48.0,242.60416666666666,48.0,242.60416666666666,48.0,242.60416666666666,6.0,212.0,,,,,1,ar
139664896,,,,,,,,,,,,,1,ar
139851616,264.0,126.14015151515152,58.0,98.3103448275862,24.0,89.625,,,,,,,1,ar
