uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167583984.0,26,26.0,26.0,24.0,24.0
167584048.0,5,5.0,5.0,5.0,5.0
167584416.0,75,75.0,75.0,75.0,75.0
167584544.0,1,,,,
167585568.0,12,12.0,7.0,7.0,7.0
167585584.0,8,8.0,7.0,7.0,7.0
167585760.0,13,5.0,,,
167585840.0,6,5.0,1.0,1.0,1.0
167587920.0,33,14.0,14.0,13.0,13.0
167588112.0,11,3.0,2.0,2.0,2.0
167590176.0,2,2.0,2.0,2.0,2.0
167590384.0,19,15.0,14.0,11.0,11.0
167590400.0,6,3.0,1.0,1.0,1.0
167590480.0,4,2.0,,,
167590576.0,11,4.0,2.0,2.0,2.0
167593792.0,5,5.0,5.0,,
167593904.0,20,13.0,3.0,3.0,3.0
167594496.0,115,,,,
167595296.0,24,24.0,,,
167595616.0,8,6.0,4.0,1.0,1.0
167598768.0,1,1.0,,,
167598784.0,180,,,,
167600064.0,3,3.0,3.0,3.0,3.0
167600416.0,13,3.0,,,
167600816.0,2,2.0,,,
167601104.0,4,4.0,4.0,4.0,4.0
167601200.0,1,1.0,,,
167601696.0,50,49.0,,,
167602176.0,1,,,,
167602576.0,3,3.0,,,
167602688.0,1,1.0,1.0,,
167602784.0,20,19.0,18.0,11.0,11.0
167603872.0,88,87.0,58.0,7.0,3.0
167604352.0,33,33.0,16.0,16.0,16.0
167605600.0,1,,,,
167606176.0,1,,,,
167606288.0,99,99.0,,,
167606704.0,1,1.0,1.0,1.0,1.0
167607168.0,4,1.0,1.0,1.0,
167608224.0,26,26.0,26.0,6.0,
167609904.0,11,,,,
167611440.0,1,1.0,,,
167612464.0,12,1.0,,,
167613552.0,97,96.0,1.0,,
167614336.0,11,10.0,2.0,2.0,2.0
167615216.0,221,2.0,2.0,2.0,2.0
167615376.0,25,25.0,6.0,5.0,5.0
167617008.0,4,3.0,3.0,3.0,3.0
167617376.0,81,80.0,80.0,80.0,80.0
167617472.0,2,1.0,1.0,1.0,1.0
167617536.0,11,1.0,1.0,,
167618112.0,1,,,,
167619632.0,18,3.0,,,
167619856.0,144,144.0,75.0,75.0,75.0
167620080.0,10,10.0,6.0,,
167621328.0,19,,,,
167621488.0,1,1.0,,,
167622368.0,1,,,,
167622400.0,40,40.0,,,
167622448.0,2,,,,
167624128.0,32,12.0,12.0,12.0,12.0
167624816.0,7,7.0,7.0,7.0,7.0
167625232.0,31,31.0,30.0,30.0,
167625296.0,1,1.0,1.0,,
167626400.0,8,2.0,2.0,2.0,1.0
167626592.0,2,2.0,1.0,1.0,1.0
167626608.0,10,4.0,,,
167627312.0,32,32.0,32.0,32.0,32.0
167627664.0,16,10.0,,,
167628704.0,8,7.0,7.0,7.0,7.0
167628928.0,1,,,,
167629040.0,8,3.0,1.0,1.0,1.0
167629184.0,1,1.0,,,
167630368.0,15,10.0,4.0,4.0,4.0
167630400.0,2,2.0,2.0,2.0,1.0
167630448.0,3,3.0,3.0,3.0,3.0
167630928.0,5,5.0,5.0,5.0,2.0
167631040.0,7,,,,
167631072.0,1,1.0,1.0,1.0,1.0
167631328.0,1,,,,
167631344.0,1,1.0,1.0,1.0,1.0
167631712.0,16,15.0,15.0,15.0,15.0
167632416.0,166,,,,
167632480.0,21,16.0,10.0,5.0,4.0
167632544.0,3,3.0,3.0,2.0,2.0
167633456.0,2,2.0,,,
167634288.0,1,1.0,,,
167635584.0,94,89.0,69.0,55.0,52.0
167636576.0,5,5.0,4.0,4.0,4.0
167636656.0,6,6.0,6.0,6.0,6.0
167637872.0,104,82.0,80.0,80.0,80.0
167638176.0,8,5.0,5.0,5.0,2.0
167638224.0,1,,,,
167638288.0,13,8.0,4.0,1.0,1.0
167638496.0,4,4.0,4.0,4.0,4.0
167638800.0,9,9.0,3.0,3.0,3.0
167639312.0,138,61.0,,,
167639792.0,55,14.0,3.0,3.0,3.0
167639904.0,24,20.0,17.0,3.0,3.0
167640080.0,52,52.0,52.0,52.0,52.0
167640160.0,1,,,,
167640720.0,1,1.0,1.0,1.0,1.0
167640736.0,148,6.0,6.0,6.0,6.0
167640976.0,31,20.0,6.0,3.0,2.0
167641296.0,46,45.0,33.0,33.0,27.0
167641632.0,4,4.0,1.0,,
167641856.0,40,25.0,14.0,11.0,11.0
167642160.0,8,8.0,8.0,4.0,3.0
167642272.0,71,69.0,69.0,69.0,69.0
167642352.0,4,4.0,2.0,1.0,1.0
167642864.0,22,22.0,2.0,2.0,2.0
167643024.0,1,,,,
167643328.0,65,32.0,27.0,25.0,16.0
167643488.0,164,164.0,164.0,164.0,164.0
167643776.0,5,5.0,5.0,2.0,2.0
167643808.0,1,1.0,1.0,1.0,1.0
167643888.0,4,3.0,3.0,,
167644080.0,127,36.0,36.0,35.0,35.0
167644128.0,45,,,,
167644720.0,3,,,,
167644880.0,9,,,,
167645008.0,35,34.0,1.0,,
167645200.0,121,115.0,114.0,113.0,113.0
167645360.0,66,35.0,18.0,15.0,13.0
167645552.0,30,28.0,28.0,28.0,28.0
167645840.0,9,6.0,3.0,3.0,
167645920.0,5,5.0,5.0,5.0,
167647744.0,31,14.0,5.0,1.0,1.0
167648400.0,4,4.0,3.0,1.0,1.0
167648912.0,7,6.0,6.0,4.0,4.0
167649200.0,135,135.0,26.0,26.0,23.0
167649568.0,1,,,,
167649984.0,10,2.0,1.0,1.0,1.0
167650112.0,2,2.0,2.0,2.0,1.0
167651136.0,41,20.0,14.0,14.0,4.0
167651632.0,1,1.0,1.0,,
167652496.0,15,15.0,13.0,13.0,13.0
