uid,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
137017600.0,26,26.0,26.0,26.0,26.0,26.0
137035792.0,84,46.0,31.0,31.0,31.0,31.0
137084144.0,50,41.0,41.0,41.0,38.0,38.0
137138400.0,10,,,,,
137149152.0,6,,,,,
138113120.0,7,7.0,1.0,1.0,1.0,1.0
138236752.0,40,31.0,30.0,27.0,19.0,15.0
138544224.0,20,,,,,
138553072.0,5,,,,,
138982224.0,3,,,,,
139078496.0,3,,,,,
139431840.0,7,7.0,7.0,6.0,4.0,
139851616.0,114,35.0,1.0,,,
140494448.0,4,,,,,
140533488.0,1,,,,,
141344848.0,39,27.0,25.0,7.0,6.0,5.0
141683888.0,10,,,,,
142900800.0,2,,,,,
144134400.0,3,,,,,
144813008.0,6,,,,,
145436112.0,1,1.0,1.0,,,
145455840.0,2,2.0,2.0,,,
146187024.0,2,,,,,
146237888.0,1,1.0,1.0,1.0,1.0,1.0
146346816.0,1,,,,,
146682496.0,24,24.0,23.0,21.0,20.0,20.0
146930336.0,7,,,,,
147365504.0,102,54.0,52.0,31.0,27.0,26.0
147527520.0,11,11.0,11.0,6.0,6.0,6.0
148416832.0,53,32.0,27.0,8.0,6.0,5.0
148592320.0,55,53.0,51.0,45.0,45.0,45.0
148663792.0,4,2.0,2.0,,,
149056960.0,1,1.0,,,,
149109312.0,10,8.0,8.0,4.0,3.0,
151291888.0,22,9.0,8.0,7.0,7.0,
151444608.0,50,,,,,
151486256.0,3,3.0,1.0,1.0,1.0,1.0
151592416.0,15,,,,,
151840368.0,14,10.0,6.0,4.0,2.0,
152059840.0,1,,,,,
152248832.0,3,,,,,
152625024.0,3,,,,,
152678016.0,7,,,,,
152735536.0,1,1.0,,,,
152894128.0,2,,,,,
153203040.0,33,33.0,33.0,,,
153348832.0,5,5.0,5.0,5.0,5.0,5.0
153372832.0,5,,,,,
153396560.0,3,,,,,
154383536.0,4,1.0,1.0,1.0,,
154623968.0,11,1.0,1.0,,,
154667696.0,3,3.0,3.0,3.0,2.0,2.0
154669600.0,115,72.0,65.0,42.0,19.0,19.0
155243872.0,101,101.0,10.0,,,
155284240.0,10,6.0,6.0,6.0,4.0,2.0
155595648.0,9,7.0,7.0,7.0,7.0,2.0
155697664.0,40,21.0,21.0,21.0,,
155762192.0,10,2.0,,,,
156118560.0,3,,,,,
156473200.0,1,,,,,
156486528.0,2,,,,,
156751136.0,35,20.0,17.0,,,
156850336.0,18,7.0,7.0,5.0,5.0,5.0
156894672.0,6,4.0,3.0,2.0,2.0,2.0
157134912.0,10,,,,,
157354176.0,15,14.0,14.0,14.0,14.0,14.0
157354960.0,2,,,,,
157594208.0,4,,,,,
157622544.0,20,,,,,
157629760.0,2,2.0,2.0,,,
157764832.0,5,,,,,
157823024.0,15,13.0,13.0,9.0,,
157908208.0,1,,,,,
157941888.0,4,,,,,
157997136.0,53,49.0,49.0,37.0,1.0,1.0
158148768.0,3,,,,,
158228304.0,19,3.0,2.0,,,
158245280.0,1,,,,,
158699872.0,2,,,,,
158717408.0,6,,,,,
158794752.0,8,,,,,
158803136.0,14,,,,,
159029760.0,4,4.0,1.0,,,
159164784.0,41,41.0,38.0,38.0,11.0,6.0
159215824.0,111,90.0,75.0,71.0,71.0,56.0
159270656.0,51,5.0,5.0,4.0,4.0,4.0
159462416.0,16,11.0,6.0,2.0,,
159541760.0,9,9.0,9.0,9.0,9.0,9.0
159547808.0,75,63.0,50.0,42.0,42.0,41.0
159739008.0,11,,,,,
159787168.0,7,,,,,
160065712.0,11,11.0,11.0,11.0,11.0,11.0
160074368.0,9,,,,,
160131104.0,86,84.0,67.0,46.0,44.0,44.0
160139392.0,27,27.0,27.0,27.0,27.0,18.0
160320128.0,10,,,,,
160390416.0,11,11.0,11.0,,,
160440720.0,51,42.0,37.0,34.0,34.0,33.0
160463792.0,8,,,,,
160666576.0,3,,,,,
160907184.0,2,,,,,
161003088.0,2,,,,,
161016912.0,27,25.0,24.0,24.0,24.0,24.0
161138064.0,9,8.0,3.0,3.0,2.0,2.0
161293344.0,9,7.0,7.0,,,
161378704.0,1,,,,,
161596464.0,18,18.0,18.0,,,
161812656.0,1,,,,,
161826032.0,2,,,,,
161928256.0,2,,,,,
161936288.0,19,18.0,16.0,16.0,16.0,16.0
162108000.0,4,4.0,4.0,4.0,4.0,4.0
162207344.0,7,6.0,6.0,3.0,,
162309424.0,10,10.0,10.0,3.0,2.0,
162354848.0,2,2.0,,,,
162360192.0,9,6.0,3.0,,,
162508544.0,21,,,,,
162578240.0,12,,,,,
162580144.0,11,,,,,
162764736.0,6,,,,,
162766192.0,12,,,,,
162867168.0,5,4.0,3.0,,,
162965328.0,4,2.0,1.0,1.0,1.0,1.0
162988304.0,4,,,,,
163045472.0,1,,,,,
163048960.0,13,7.0,7.0,7.0,7.0,7.0
163049776.0,3,,,,,
163104688.0,88,63.0,62.0,42.0,25.0,12.0
163113856.0,3,3.0,3.0,,,
163187472.0,3,,,,,
163211424.0,34,2.0,2.0,2.0,,
163253776.0,4,,,,,
163336192.0,9,9.0,,,,
163552928.0,23,18.0,15.0,13.0,5.0,3.0
163682512.0,3,,,,,
163814528.0,1,1.0,1.0,1.0,1.0,1.0
163875936.0,6,,,,,
163963552.0,3,3.0,1.0,1.0,,
164008784.0,15,14.0,1.0,1.0,,
164168832.0,9,,,,,
164207264.0,1,,,,,
164269856.0,25,25.0,25.0,11.0,10.0,10.0
164275904.0,2,,,,,
164297344.0,15,,,,,
164304880.0,22,18.0,16.0,16.0,16.0,16.0
164388416.0,1,,,,,
164393680.0,58,4.0,4.0,4.0,4.0,4.0
164476960.0,1,,,,,
164483952.0,32,32.0,17.0,17.0,13.0,13.0
164494064.0,2,1.0,1.0,,,
164563056.0,19,,,,,
164591728.0,6,,,,,
164639536.0,22,19.0,19.0,10.0,2.0,2.0
164658864.0,3,1.0,,,,
164720928.0,1,,,,,
164751872.0,2,,,,,
164784160.0,6,,,,,
164855664.0,28,24.0,24.0,24.0,22.0,22.0
164918672.0,13,,,,,
164946912.0,1,1.0,,,,
165018016.0,17,4.0,4.0,1.0,1.0,1.0
165025856.0,42,38.0,18.0,2.0,2.0,2.0
165225968.0,17,1.0,1.0,1.0,,
165324384.0,1,,,,,
165331632.0,6,5.0,5.0,5.0,,
165361936.0,3,3.0,,,,
165463776.0,15,12.0,12.0,12.0,12.0,12.0
165471488.0,1,1.0,1.0,1.0,1.0,1.0
165636832.0,5,5.0,5.0,5.0,5.0,5.0
165664544.0,5,5.0,3.0,,,
165706320.0,52,52.0,52.0,52.0,52.0,52.0
165714736.0,136,98.0,20.0,18.0,18.0,18.0
165757168.0,59,,,,,
165767712.0,5,5.0,5.0,5.0,5.0,1.0
165779296.0,1,,,,,
165803840.0,1,,,,,
165837008.0,1,,,,,
165855072.0,22,,,,,
165866944.0,10,10.0,5.0,1.0,1.0,1.0
165890960.0,1,,,,,
165953248.0,4,4.0,4.0,4.0,4.0,4.0
165979776.0,19,19.0,19.0,19.0,6.0,6.0
165995456.0,5,,,,,
165997088.0,3,,,,,
166040848.0,4,,,,,
166065680.0,3,3.0,3.0,3.0,2.0,2.0
166112320.0,72,4.0,,,,
166118560.0,33,,,,,
166286112.0,6,,,,,
166313568.0,12,12.0,12.0,12.0,12.0,12.0
166327168.0,42,11.0,10.0,4.0,4.0,4.0
166341648.0,12,9.0,9.0,3.0,2.0,2.0
166351680.0,4,4.0,4.0,,,
166365088.0,29,12.0,12.0,5.0,5.0,5.0
166378704.0,99,99.0,99.0,98.0,30.0,27.0
166456448.0,2,2.0,,,,
166471616.0,23,1.0,,,,
166472064.0,36,31.0,4.0,,,
166494464.0,137,88.0,86.0,39.0,36.0,36.0
166541072.0,10,8.0,8.0,8.0,8.0,8.0
166549680.0,27,,,,,
166553696.0,33,33.0,31.0,16.0,14.0,14.0
166559120.0,11,,,,,
166601152.0,90,75.0,72.0,72.0,71.0,71.0
166628640.0,7,6.0,6.0,6.0,6.0,6.0
166636192.0,3,,,,,
166638752.0,30,,,,,
166654368.0,2,1.0,,,,
166719312.0,10,,,,,
166756496.0,4,2.0,2.0,2.0,2.0,
166761376.0,2,,,,,
166767744.0,6,,,,,
166778848.0,10,,,,,
166782576.0,3,3.0,3.0,3.0,3.0,3.0
166787952.0,1,1.0,1.0,1.0,1.0,1.0
166798032.0,42,42.0,30.0,9.0,,
166818704.0,8,,,,,
166839296.0,6,,,,,
166853904.0,10,10.0,,,,
166858432.0,18,18.0,15.0,6.0,1.0,
166859328.0,16,3.0,,,,
166879056.0,22,18.0,10.0,1.0,1.0,1.0
166887120.0,13,12.0,12.0,5.0,,
166913072.0,9,9.0,9.0,8.0,5.0,5.0
166934672.0,13,,,,,
166965440.0,42,42.0,39.0,25.0,7.0,7.0
166977952.0,2,,,,,
166987104.0,14,6.0,6.0,6.0,,
167002032.0,16,,,,,
167022912.0,23,18.0,18.0,15.0,10.0,10.0
167026560.0,49,12.0,11.0,9.0,,
167039904.0,135,3.0,,,,
167044992.0,25,17.0,11.0,10.0,10.0,9.0
167056800.0,6,6.0,6.0,4.0,,
167063952.0,16,12.0,12.0,12.0,11.0,11.0
167075280.0,2,,,,,
167076576.0,57,39.0,37.0,10.0,7.0,6.0
167088624.0,2,2.0,,,,
167095600.0,1,,,,,
167111808.0,68,30.0,26.0,,,
167125760.0,1,,,,,
167171168.0,1,1.0,,,,
167181072.0,1,,,,,
167197712.0,7,7.0,7.0,7.0,7.0,7.0
167214288.0,47,27.0,4.0,4.0,4.0,4.0
167216864.0,1,,,,,
167221904.0,1,,,,,
167246608.0,2,,,,,
167249024.0,8,8.0,7.0,7.0,7.0,7.0
167262976.0,55,9.0,8.0,6.0,6.0,1.0
167271008.0,6,5.0,5.0,2.0,,
167274032.0,44,44.0,26.0,,,
167310576.0,4,4.0,4.0,,,
167314464.0,2,,,,,
167329472.0,25,22.0,22.0,22.0,21.0,21.0
167342048.0,2,,,,,
167342624.0,1,,,,,
167343168.0,2,1.0,1.0,1.0,1.0,1.0
167365744.0,4,2.0,2.0,2.0,2.0,
167372464.0,11,,,,,
167376960.0,4,,,,,
167388672.0,5,2.0,,,,
167407392.0,7,7.0,1.0,1.0,,
167409168.0,2,1.0,,,,
167432480.0,1,1.0,,,,
167433744.0,2,,,,,
167438160.0,2,2.0,2.0,2.0,2.0,
167450624.0,2,2.0,2.0,,,
167457504.0,1,,,,,
167466016.0,4,,,,,
167468848.0,10,,,,,
167469136.0,12,,,,,
167471664.0,3,,,,,
167473552.0,2,,,,,
167480800.0,3,,,,,
167494304.0,29,29.0,29.0,7.0,7.0,7.0
167496288.0,21,14.0,14.0,12.0,11.0,11.0
167499424.0,5,4.0,,,,
167508672.0,3,,,,,
167510384.0,22,22.0,18.0,15.0,15.0,15.0
167510512.0,5,,,,,
167518944.0,1,,,,,
167522416.0,2,2.0,2.0,,,
167523120.0,2,,,,,
167529680.0,1,,,,,
167535808.0,16,8.0,1.0,1.0,,
167537200.0,14,,,,,
167544224.0,13,,,,,
