uid,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
167601200.0,67,67.0,66.0,61.0,51.0
167601696.0,39,36.0,24.0,14.0,9.0
167601792.0,3,3.0,2.0,,
167601920.0,11,11.0,7.0,,
167602048.0,15,14.0,11.0,10.0,10.0
167602576.0,3,2.0,,,
167602688.0,2,2.0,2.0,,
167602784.0,20,16.0,15.0,13.0,12.0
167603872.0,37,32.0,15.0,11.0,7.0
167604352.0,7,6.0,6.0,6.0,6.0
167604416.0,2,2.0,,,
167605232.0,9,6.0,6.0,6.0,6.0
167605600.0,9,5.0,5.0,5.0,5.0
167605616.0,43,28.0,28.0,28.0,15.0
167605664.0,8,6.0,6.0,4.0,3.0
167606176.0,4,,,,
167606288.0,15,15.0,8.0,8.0,8.0
167607168.0,85,74.0,56.0,15.0,11.0
167608224.0,15,15.0,15.0,1.0,1.0
167609904.0,3,1.0,,,
167610032.0,2,,,,
167610064.0,1,1.0,1.0,1.0,1.0
167611312.0,1,1.0,1.0,,
167612176.0,13,7.0,,,
167612464.0,4,2.0,,,
167612624.0,1,,,,
167613232.0,7,3.0,3.0,3.0,
167613552.0,20,15.0,7.0,4.0,4.0
167614336.0,53,51.0,5.0,4.0,4.0
167615216.0,8,6.0,6.0,6.0,6.0
167615376.0,46,46.0,9.0,7.0,7.0
167617008.0,6,5.0,5.0,5.0,5.0
167617376.0,5,1.0,1.0,1.0,1.0
167617472.0,22,22.0,15.0,9.0,8.0
167617536.0,3,3.0,2.0,,
167618064.0,6,6.0,6.0,6.0,6.0
167618112.0,4,1.0,,,
167619632.0,12,8.0,,,
167619856.0,1,,,,
167620048.0,24,22.0,15.0,8.0,3.0
167620080.0,3,3.0,2.0,,
167621328.0,1,,,,
167621488.0,1,,,,
167621616.0,28,18.0,15.0,8.0,8.0
167622368.0,4,1.0,,,
167622448.0,8,2.0,2.0,2.0,2.0
167623376.0,22,22.0,22.0,22.0,22.0
167624128.0,43,35.0,27.0,21.0,21.0
167624816.0,9,9.0,9.0,9.0,9.0
167624848.0,16,16.0,13.0,,
167625232.0,34,18.0,11.0,1.0,1.0
167625296.0,1,1.0,1.0,,
167625392.0,4,4.0,2.0,2.0,2.0
167626592.0,3,3.0,2.0,,
167626608.0,43,22.0,,,
167627312.0,35,30.0,24.0,15.0,15.0
167627664.0,11,5.0,3.0,,
167628704.0,43,28.0,27.0,27.0,25.0
167628928.0,164,108.0,103.0,86.0,86.0
167629040.0,68,5.0,4.0,4.0,
167629184.0,1,1.0,,,
167630016.0,28,18.0,,,
167630368.0,17,15.0,11.0,9.0,9.0
167630400.0,5,1.0,1.0,1.0,
167630448.0,4,4.0,4.0,4.0,4.0
167630928.0,2,,,,
167631040.0,5,5.0,5.0,5.0,5.0
167631072.0,5,5.0,3.0,3.0,3.0
167631088.0,37,36.0,34.0,34.0,34.0
167631328.0,3,3.0,3.0,3.0,3.0
167631344.0,1,1.0,1.0,1.0,1.0
167631712.0,26,16.0,16.0,4.0,4.0
167632080.0,17,16.0,15.0,5.0,5.0
167632128.0,4,4.0,4.0,3.0,3.0
167632416.0,22,5.0,5.0,3.0,3.0
167632480.0,61,53.0,25.0,18.0,17.0
167632544.0,59,50.0,18.0,12.0,12.0
167633360.0,23,23.0,14.0,10.0,10.0
167633456.0,11,4.0,,,
167634272.0,2,2.0,,,
167634288.0,64,60.0,46.0,41.0,37.0
167634368.0,10,10.0,3.0,3.0,1.0
167634816.0,1,,,,
167635584.0,75,73.0,66.0,51.0,43.0
167635888.0,8,8.0,8.0,8.0,8.0
167636576.0,31,30.0,30.0,30.0,30.0
167636592.0,1,1.0,1.0,1.0,1.0
167636656.0,19,19.0,19.0,19.0,19.0
167637872.0,24,17.0,8.0,8.0,8.0
167638176.0,23,16.0,16.0,12.0,6.0
167638288.0,22,15.0,9.0,4.0,4.0
167638496.0,48,18.0,14.0,11.0,11.0
167638800.0,36,32.0,28.0,17.0,17.0
167639312.0,1,1.0,,,
167639792.0,46,27.0,11.0,10.0,10.0
167639904.0,14,14.0,9.0,4.0,4.0
167640080.0,3,1.0,,,
167640160.0,9,4.0,4.0,4.0,4.0
167640208.0,2,,,,
167640720.0,29,29.0,28.0,21.0,17.0
167640736.0,23,22.0,17.0,14.0,14.0
167640960.0,13,8.0,8.0,1.0,1.0
167640976.0,97,82.0,35.0,14.0,14.0
167641264.0,3,3.0,3.0,3.0,3.0
167641296.0,93,86.0,68.0,65.0,60.0
167641632.0,62,57.0,46.0,22.0,13.0
167641856.0,208,114.0,65.0,51.0,50.0
167642160.0,61,39.0,26.0,13.0,12.0
167642272.0,71,67.0,66.0,66.0,66.0
167642352.0,13,12.0,11.0,4.0,4.0
167642864.0,80,77.0,12.0,12.0,12.0
167643024.0,31,3.0,3.0,,
167643328.0,64,43.0,37.0,32.0,32.0
167643488.0,23,1.0,1.0,1.0,1.0
167643776.0,29,29.0,27.0,27.0,24.0
167643808.0,15,15.0,10.0,1.0,1.0
167643888.0,17,15.0,15.0,10.0,10.0
167644080.0,44,14.0,14.0,10.0,9.0
167644128.0,16,5.0,5.0,2.0,2.0
167644720.0,2,,,,
167644880.0,34,31.0,27.0,27.0,27.0
167645008.0,73,52.0,49.0,47.0,47.0
167645200.0,46,45.0,36.0,31.0,30.0
167645360.0,150,95.0,55.0,42.0,41.0
167645552.0,6,3.0,3.0,2.0,2.0
167645840.0,54,44.0,12.0,12.0,9.0
167645920.0,2,2.0,,,
167646512.0,5,,,,
167647744.0,11,3.0,2.0,1.0,1.0
167648400.0,32,32.0,17.0,17.0,17.0
167648912.0,42,37.0,37.0,22.0,22.0
167649200.0,23,18.0,5.0,5.0,
167649568.0,58,33.0,25.0,19.0,19.0
