uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
168514272,487.0,184.42915811088292,251.0,248.1832669322709,183.0,253.29508196721312,79.0,264.3164556962025,41.0,261.1219512195122,17.0,276.29411764705884,75.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0,1,0,1,0,0.7360239285421617
168514352,599.0,223.7545909849749,391.0,229.7902813299233,221.0,233.1945701357466,89.0,127.28089887640448,2.0,64.5,0.0,0.0,46.0,30.0,19.0,19.0,18.0,16.0,92.0,48.0,11.0,7.0,3.0,3.0,2.0,7.0,0,2,0,1,0,0.41426942085920665
168514672,1211.0,242.21800165152766,913.0,242.35596933187298,36.0,464.4444444444445,14.0,290.57142857142856,1.0,632.0,1.0,632.0,47.0,38.0,34.0,7.0,5.0,4.0,16.0,15.0,7.0,0.0,0.0,0.0,1.0,14.0,0,1,0,1,0,0.8720985892461609
168514784,2390.0,195.73953012133893,1717.0,197.02737332556785,927.0,201.3225458468177,415.0,193.5855421686747,228.0,157.78070175438597,57.0,135.4736842105263,189.0,161.0,128.0,95.0,62.0,57.0,153.0,112.0,70.0,65.0,62.0,53.0,1.0,1.0,0,1,0,1,0,0.7779272831809247
168514944,20.0,94.95,1.0,68.0,1.0,68.0,1.0,68.0,1.0,68.0,1.0,68.0,11.0,5.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0,1,1,0,0,0.4290555806597379
168515184,502.0,118.19721115537847,74.0,106.24324324324324,9.0,156.33333333333334,1.0,129.0,0.0,0.0,0.0,0.0,86.0,35.0,10.0,8.0,6.0,6.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,21.0,0,4,0,1,0,0.45463252421233297
168515392,878.0,171.5148063781321,707.0,176.36350777934936,472.0,171.90254237288138,168.0,104.34523809523809,5.0,204.6,5.0,204.6,29.0,6.0,3.0,1.0,1.0,1.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0.9029909814832582
168515552,1946.0,169.2368961973279,1114.0,159.88061041292642,749.0,168.80373831775702,369.0,173.27642276422765,160.0,146.31875,60.0,138.66666666666666,438.0,185.0,120.0,92.0,81.0,80.0,13.0,7.0,4.0,3.0,1.0,0.0,1.0,3.0,0,1,0,1,0,0.5455221581365765
168515904,236.0,196.60593220338984,128.0,190.890625,99.0,194.50505050505052,11.0,203.72727272727272,1.0,57.0,0.0,0.0,103.0,60.0,45.0,32.0,32.0,31.0,127.0,4.0,1.0,0.0,0.0,0.0,2.0,12.0,0,2,0,1,0,0.4974057160009434
168516176,1862.0,94.36788399570356,955.0,112.82931937172778,620.0,109.96935483870968,288.0,109.42013888888887,233.0,100.69098712446352,111.0,94.97297297297294,256.0,127.0,107.0,81.0,77.0,64.0,623.0,400.0,390.0,367.0,363.0,351.0,1.0,1.0,0,1,0,1,0,0.5067440713599751
168516400,416.0,165.48076923076925,145.0,154.94482758620688,47.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,14.0,8.0,6.0,6.0,6.0,166.0,47.0,4.0,0.0,0.0,0.0,13.0,13.0,0,8,0,1,0,0.658901002134441
168516752,700.0,172.8242857142857,299.0,194.23076923076923,51.0,144.80392156862746,11.0,221.0,11.0,221.0,2.0,275.5,67.0,26.0,26.0,15.0,15.0,15.0,96.0,15.0,15.0,8.0,8.0,8.0,9.0,9.0,0,1,0,1,0,0.659843352859683
168516928,461.0,190.08459869848159,381.0,193.4330708661417,240.0,187.16666666666663,112.0,183.47321428571428,5.0,251.4,5.0,251.4,48.0,48.0,37.0,29.0,19.0,19.0,7.0,6.0,3.0,1.0,1.0,1.0,7.0,9.0,0,1,1,0,0,0.7936187362453245
168517040,480.0,156.282915240625,234.0,179.0,137.0,180.75182481751824,77.0,145.77922077922082,32.0,150.5,24.0,132.5,234.0,118.0,116.0,116.0,112.0,111.0,103.0,38.0,38.0,38.0,38.0,38.0,1.0,1.0,0,1,0,1,0,0.6127742011005229
168517136,353.0,191.91784702549572,136.0,179.38235294117646,113.0,191.66371681415933,15.0,131.86666666666667,10.0,117.5,0.0,0.0,52.0,19.0,17.0,12.0,12.0,12.0,13.0,11.0,7.0,7.0,7.0,7.0,13.0,15.0,0,3,1,0,0,0.8658538143987321
