uid,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
168869792.0,134,15.447761194029852,134.0,15.447761194029852,133.0,14.473684210526315,,,,,1.0,ar
168869968.0,188,131.63297872340425,143.0,130.83216783216784,65.0,125.1076923076923,4.0,230.0,,,0.0,both
168870720.0,29,56.3448275862069,29.0,56.3448275862069,19.0,16.57894736842105,19.0,16.57894736842105,,,1.0,both
168871152.0,1098,253.89617486338798,818.0,263.8508557457213,252.0,225.1904761904762,113.0,219.4070796460177,32.0,244.53125,0.0,ar
168871312.0,62,141.82258064516128,42.0,147.47619047619048,37.0,130.51351351351352,6.0,218.33333333333334,,,0.0,both
168871664.0,17,168.41176470588235,4.0,56.75,,,,,,,0.0,both
168871792.0,677,181.5096011816839,631.0,186.2091917591125,614.0,187.58794788273616,333.0,179.19819819819818,,,0.0,ar
168872176.0,81,197.679012345679,48.0,201.02083333333334,25.0,175.24,,,,,0.0,ar
168872304.0,280,120.00357142857143,158.0,132.15822784810126,73.0,135.3972602739726,11.0,183.27272727272728,11.0,183.27272727272728,0.0,both
168872336.0,96,111.13541666666667,64.0,110.21875,26.0,81.38461538461539,2.0,79.5,,,0.0,both
168872432.0,532,152.08171213345864,245.0,200.4287142244898,176.0,206.32386363636363,68.0,229.83823529411765,37.0,264.8378378378378,0.0,both
168872496.0,134,183.7462686567164,107.0,211.42056074766356,64.0,210.34375,44.0,198.79545454545453,1.0,48.0,0.0,both
168873072.0,279,228.336917562724,165.0,238.84242424242424,92.0,257.4782608695652,32.0,254.46875,25.0,256.68,0.0,ar
168873184.0,689,201.0435413642961,474.0,229.20253164556962,89.0,243.62921348314606,2.0,283.5,2.0,283.5,0.0,both
168873584.0,1,0.0,1.0,0.0,1.0,0.0,,,,,0.0,ar
168873744.0,205,205.43414634146342,154.0,226.2012987012987,91.0,240.6043956043956,34.0,258.79411764705884,,,0.0,both
168873968.0,265,112.64905660377359,116.0,121.87068965517241,20.0,153.3,11.0,154.9090909090909,2.0,125.0,0.0,ar
168874112.0,2994,118.75116900467602,2673.0,106.36700336700336,2260.0,86.0787610619469,2060.0,75.72233009708738,121.0,150.58677685950414,0.0,both
168874336.0,323,143.4798761609907,150.0,138.04666666666665,62.0,142.7258064516129,15.0,136.8,1.0,60.0,0.0,both
168874688.0,448,167.390625,259.0,196.02316602316603,154.0,210.9935064935065,83.0,195.6265060240964,34.0,150.38235294117646,0.0,both
168875072.0,116,87.15517241379311,70.0,99.44285714285714,24.0,56.5,24.0,56.5,,,0.0,both
168875328.0,83,102.81927710843374,31.0,177.38709677419354,29.0,174.6551724137931,,,,,0.0,ar
168875360.0,87,203.42528735632183,7.0,189.57142857142858,6.0,173.66666666666666,,,,,0.0,both
168875664.0,556,109.31115107913669,389.0,113.08226221079691,151.0,143.11920529801324,124.0,144.49193548387098,57.0,159.71929824561403,0.0,both
168875888.0,1663,152.78592904389657,1137.0,171.39929639401936,185.0,205.36756756756756,23.0,63.0,22.0,64.5,0.0,ar
